"SampleID","CellType","DiseaseState","Source_MitochondrialRate","Tissue","nGene"
"SRR1275041","epidermal keratinocyte","normal control",0.0374,"foreskin",6535
"SRR1275042","epidermal keratinocyte","normal control",0.0497,"foreskin",6237
"SRR1275043","epidermal keratinocyte","normal control",0.0498,"foreskin",5210
"SRR1275044","","chronic myeloid leukemia (CML)",0.1072,"bone marrow",9917
"SRR1275045","","chronic myeloid leukemia (CML)",0.1067,"bone marrow",6282
"SRR1275046","","chronic myeloid leukemia (CML)",0.1056,"bone marrow",9401
"SRR1275047","","chronic myeloid leukemia (CML)",0.0987,"bone marrow",5830
"SRR1275048","","chronic myeloid leukemia (CML)",0.0712,"bone marrow",10341
"SRR1275049","","chronic myeloid leukemia (CML)",0.0695,"bone marrow",6473
"SRR1275050","","chronic myeloid leukemia (CML)",0.0812,"bone marrow",9561
"SRR1275051","","chronic myeloid leukemia (CML)",0.0819,"bone marrow",6190
"SRR1275052","","chronic myeloid leukemia (CML)",0.0634,"bone marrow",9736
"SRR1275053","","chronic myeloid leukemia (CML)",0.0629,"bone marrow",6432
"SRR1275054","","chronic myeloid leukemia (CML)",0.0497,"bone marrow",10293
"SRR1275055","","chronic myeloid leukemia (CML)",0.0494,"bone marrow",6641
"SRR1275056","","chronic myeloid leukemia (CML)",0.0794,"bone marrow",9407
"SRR1275057","","chronic myeloid leukemia (CML)",0.0783,"bone marrow",6005
"SRR1275058","","chronic myeloid leukemia (CML)",0.0486,"bone marrow",9985
"SRR1275059","","chronic myeloid leukemia (CML)",0.0483,"bone marrow",6353
"SRR1275060","","chronic myeloid leukemia (CML)",0.0825,"bone marrow",9505
"SRR1275061","","chronic myeloid leukemia (CML)",0.0801,"bone marrow",5964
"SRR1275062","","chronic myeloid leukemia (CML)",0.0934,"bone marrow",9766
"SRR1275063","","chronic myeloid leukemia (CML)",0.0938,"bone marrow",6248
"SRR1275064","","chronic myeloid leukemia (CML)",0.0451,"bone marrow",9158
"SRR1275065","","chronic myeloid leukemia (CML)",0.0459,"bone marrow",4888
"SRR1275066","","chronic myeloid leukemia (CML)",0.0684,"bone marrow",9657
"SRR1275067","","chronic myeloid leukemia (CML)",0.0667,"bone marrow",6239
"SRR1275068","","chronic myeloid leukemia (CML)",0.0627,"bone marrow",10272
"SRR1275069","","chronic myeloid leukemia (CML)",0.0625,"bone marrow",6469
"SRR1275070","","chronic myeloid leukemia (CML)",0.0726,"bone marrow",9861
"SRR1275071","","chronic myeloid leukemia (CML)",0.0731,"bone marrow",6323
"SRR1275072","","chronic myeloid leukemia (CML)",0.05,"bone marrow",10019
"SRR1275073","","chronic myeloid leukemia (CML)",0.0495,"bone marrow",6473
"SRR1275074","","chronic myeloid leukemia (CML)",0.0859,"bone marrow",10059
"SRR1275075","","chronic myeloid leukemia (CML)",0.0837,"bone marrow",6269
"SRR1275076","","chronic myeloid leukemia (CML)",0.0717,"bone marrow",9799
"SRR1275077","","chronic myeloid leukemia (CML)",0.0719,"bone marrow",6073
"SRR1275078","","chronic myeloid leukemia (CML)",0.0487,"bone marrow",9058
"SRR1275079","","chronic myeloid leukemia (CML)",0.0487,"bone marrow",5991
"SRR1275080","","chronic myeloid leukemia (CML)",0.0657,"bone marrow",9760
"SRR1275081","","chronic myeloid leukemia (CML)",0.0656,"bone marrow",6101
"SRR1275082","","chronic myeloid leukemia (CML)",0.079,"bone marrow",10331
"SRR1275083","","chronic myeloid leukemia (CML)",0.0782,"bone marrow",6553
"SRR1275084","","chronic myeloid leukemia (CML)",0.07,"bone marrow",9454
"SRR1275085","","chronic myeloid leukemia (CML)",0.0689,"bone marrow",6146
"SRR1275086","","chronic myeloid leukemia (CML)",0.0729,"bone marrow",10334
"SRR1275088","induced pluripotent stem cell (iPSC)","normal control",0.0516,"foreskin",7886
"SRR1275089","induced pluripotent stem cell (iPSC)","normal control",0.0523,"foreskin",5588
"SRR1275090","induced pluripotent stem cell (iPSC)","normal control",0.039,"foreskin",9343
"SRR1275091","induced pluripotent stem cell (iPSC)","normal control",0.0378,"foreskin",6047
"SRR1275092","induced pluripotent stem cell (iPSC)","normal control",0.0163,"foreskin",7248
"SRR1275093","induced pluripotent stem cell (iPSC)","normal control",0.0167,"foreskin",5273
"SRR1275094","induced pluripotent stem cell (iPSC)","normal control",0.0405,"foreskin",9487
"SRR1275095","induced pluripotent stem cell (iPSC)","normal control",0.041,"foreskin",6370
"SRR1275096","induced pluripotent stem cell (iPSC)","normal control",0.0331,"foreskin",9023
"SRR1275097","induced pluripotent stem cell (iPSC)","normal control",0.0323,"foreskin",6154
"SRR1275098","induced pluripotent stem cell (iPSC)","normal control",0.0595,"foreskin",8640
"SRR1275099","induced pluripotent stem cell (iPSC)","normal control",0.0606,"foreskin",6101
"SRR1275100","induced pluripotent stem cell (iPSC)","normal control",0.0447,"foreskin",8552
"SRR1275101","induced pluripotent stem cell (iPSC)","normal control",0.0439,"foreskin",5554
"SRR1275102","induced pluripotent stem cell (iPSC)","normal control",0.0287,"foreskin",8573
"SRR1275103","induced pluripotent stem cell (iPSC)","normal control",0.0285,"foreskin",6035
"SRR1275104","induced pluripotent stem cell (iPSC)","normal control",0.0222,"foreskin",8780
"SRR1275105","induced pluripotent stem cell (iPSC)","normal control",0.022,"foreskin",5701
"SRR1275106","induced pluripotent stem cell (iPSC)","normal control",0.0309,"foreskin",7965
"SRR1275107","induced pluripotent stem cell (iPSC)","normal control",0.0321,"foreskin",5248
"SRR1275108","induced pluripotent stem cell (iPSC)","normal control",0.0482,"foreskin",8356
"SRR1275109","induced pluripotent stem cell (iPSC)","normal control",0.0477,"foreskin",5591
"SRR1275110","induced pluripotent stem cell (iPSC)","normal control",0.0407,"foreskin",8611
"SRR1275111","induced pluripotent stem cell (iPSC)","normal control",0.0411,"foreskin",5854
"SRR1275112","induced pluripotent stem cell (iPSC)","normal control",0.0381,"foreskin",8835
"SRR1275113","induced pluripotent stem cell (iPSC)","normal control",0.0385,"foreskin",6083
"SRR1275114","induced pluripotent stem cell (iPSC)","normal control",0.0579,"foreskin",8856
"SRR1275115","induced pluripotent stem cell (iPSC)","normal control",0.0586,"foreskin",5870
"SRR1275116","induced pluripotent stem cell (iPSC)","normal control",0.0688,"foreskin",7923
"SRR1275117","induced pluripotent stem cell (iPSC)","normal control",0.0698,"foreskin",5013
"SRR1275118","induced pluripotent stem cell (iPSC)","normal control",0.0276,"foreskin",6892
"SRR1275119","induced pluripotent stem cell (iPSC)","normal control",0.0286,"foreskin",4604
"SRR1275120","","chronic myeloid leukemia (CML)",0.0784,"bone marrow",9148
"SRR1275121","","chronic myeloid leukemia (CML)",0.0771,"bone marrow",5673
"SRR1275122","","chronic myeloid leukemia (CML)",0.0769,"bone marrow",9686
"SRR1275123","","chronic myeloid leukemia (CML)",0.0773,"bone marrow",6342
"SRR1275124","","chronic myeloid leukemia (CML)",0.0585,"bone marrow",10308
"SRR1275125","","chronic myeloid leukemia (CML)",0.0578,"bone marrow",6411
"SRR1275126","","chronic myeloid leukemia (CML)",0.0767,"bone marrow",10232
"SRR1275127","","chronic myeloid leukemia (CML)",0.0752,"bone marrow",6762
"SRR1275128","","chronic myeloid leukemia (CML)",0.07,"bone marrow",10504
"SRR1275129","","chronic myeloid leukemia (CML)",0.0698,"bone marrow",6912
"SRR1275130","","chronic myeloid leukemia (CML)",0.0689,"bone marrow",10741
"SRR1275131","","chronic myeloid leukemia (CML)",0.0694,"bone marrow",6544
"SRR1275132","","chronic myeloid leukemia (CML)",0.067,"bone marrow",9886
"SRR1275133","","chronic myeloid leukemia (CML)",0.0669,"bone marrow",6133
"SRR1275134","","chronic myeloid leukemia (CML)",0.0615,"bone marrow",10057
"SRR1275135","","chronic myeloid leukemia (CML)",0.0609,"bone marrow",6265
"SRR1275136","promyelocyte","acute promyelocytic leukemia",0.0918,"peripheral blood",5900
"SRR1275138","promyelocyte","acute promyelocytic leukemia",0.0219,"peripheral blood",5501
"SRR1275140","promyelocyte","acute promyelocytic leukemia",0.0945,"peripheral blood",5579
"SRR1275142","promyelocyte","acute promyelocytic leukemia",0.0433,"peripheral blood",5795
"SRR1275143","promyelocyte","acute promyelocytic leukemia",0.0415,"peripheral blood",4439
"SRR1275144","promyelocyte","acute promyelocytic leukemia",0.0879,"peripheral blood",5321
"SRR1275146","promyelocyte","acute promyelocytic leukemia",0.0649,"peripheral blood",6344
"SRR1275148","promyelocyte","acute promyelocytic leukemia",0.1224,"peripheral blood",5118
"SRR1275150","promyelocyte","acute promyelocytic leukemia",0.0571,"peripheral blood",5256
"SRR1275152","promyelocyte","acute promyelocytic leukemia",0.069,"peripheral blood",5848
"SRR1275154","promyelocyte","acute promyelocytic leukemia",0.1263,"peripheral blood",3225
"SRR1275155","promyelocyte","acute promyelocytic leukemia",0.1121,"peripheral blood",2510
"SRR1275156","promyelocyte","acute promyelocytic leukemia",0.0226,"peripheral blood",4352
"SRR1275157","promyelocyte","acute promyelocytic leukemia",0.0227,"peripheral blood",3356
"SRR1275158","promyelocyte","acute promyelocytic leukemia",0.0589,"peripheral blood",6076
"SRR1275159","promyelocyte","acute promyelocytic leukemia",0.0591,"peripheral blood",4725
"SRR1275160","promyelocyte","acute promyelocytic leukemia",0.061,"peripheral blood",4374
"SRR1275161","promyelocyte","acute promyelocytic leukemia",0.0603,"peripheral blood",3133
"SRR1275162","induced pluripotent stem cell (iPSC)","normal control",0.0796,"foreskin",8629
"SRR1275163","induced pluripotent stem cell (iPSC)","normal control",0.0809,"foreskin",5401
"SRR1275164","induced pluripotent stem cell (iPSC)","normal control",0.0356,"foreskin",9042
"SRR1275165","induced pluripotent stem cell (iPSC)","normal control",0.0357,"foreskin",6023
"SRR1275166","induced pluripotent stem cell (iPSC)","normal control",0.0537,"foreskin",8909
"SRR1275167","induced pluripotent stem cell (iPSC)","normal control",0.0561,"foreskin",6100
"SRR1275168","induced pluripotent stem cell (iPSC)","normal control",0.0649,"foreskin",8208
"SRR1275169","induced pluripotent stem cell (iPSC)","normal control",0.0643,"foreskin",6060
"SRR1275170","induced pluripotent stem cell (iPSC)","normal control",0.02,"foreskin",8658
"SRR1275171","induced pluripotent stem cell (iPSC)","normal control",0.0201,"foreskin",4772
"SRR1275172","induced pluripotent stem cell (iPSC)","normal control",0.0323,"foreskin",7106
"SRR1275173","induced pluripotent stem cell (iPSC)","normal control",0.0327,"foreskin",5030
"SRR1275174","induced pluripotent stem cell (iPSC)","normal control",0.0466,"foreskin",9433
"SRR1275175","induced pluripotent stem cell (iPSC)","normal control",0.0466,"foreskin",6220
"SRR1275176","induced pluripotent stem cell (iPSC)","normal control",0.045,"foreskin",9206
"SRR1275177","induced pluripotent stem cell (iPSC)","normal control",0.0453,"foreskin",6210
"SRR1275179","promyelocyte","acute promyelocytic leukemia",0.0251,"peripheral blood",4698
"SRR1275180","promyelocyte","acute promyelocytic leukemia",0.0253,"peripheral blood",3381
"SRR1275181","promyelocyte","acute promyelocytic leukemia",0.0359,"peripheral blood",5606
"SRR1275182","promyelocyte","acute promyelocytic leukemia",0.0348,"peripheral blood",4360
"SRR1275183","promyelocyte","acute promyelocytic leukemia",0.1566,"peripheral blood",2740
"SRR1275184","promyelocyte","acute promyelocytic leukemia",0.156,"peripheral blood",2086
"SRR1275185","promyelocyte","acute promyelocytic leukemia",0.0449,"peripheral blood",4430
"SRR1275186","promyelocyte","acute promyelocytic leukemia",0.0434,"peripheral blood",3150
"SRR1275187","promyelocyte","acute promyelocytic leukemia",0.0555,"peripheral blood",3338
"SRR1275188","promyelocyte","acute promyelocytic leukemia",0.0564,"peripheral blood",2564
"SRR1275189","promyelocyte","acute promyelocytic leukemia",0.05,"peripheral blood",4401
"SRR1275190","promyelocyte","acute promyelocytic leukemia",0.0505,"peripheral blood",3254
"SRR1275191","promyelocyte","acute promyelocytic leukemia",0.0283,"peripheral blood",5999
"SRR1275192","promyelocyte","acute promyelocytic leukemia",0.0285,"peripheral blood",4115
"SRR1275193","promyelocyte","acute promyelocytic leukemia",0.0671,"peripheral blood",4335
"SRR1275194","promyelocyte","acute promyelocytic leukemia",0.068,"peripheral blood",3358
"SRR1275195","promyelocyte","acute promyelocytic leukemia",0.0885,"peripheral blood",6372
"SRR1275196","promyelocyte","acute promyelocytic leukemia",0.0884,"peripheral blood",4241
"SRR1275197","promyelocyte","acute promyelocytic leukemia",0.0357,"peripheral blood",4241
"SRR1275198","promyelocyte","acute promyelocytic leukemia",0.0375,"peripheral blood",3125
"SRR1275199","promyelocyte","acute promyelocytic leukemia",0.0829,"peripheral blood",5176
"SRR1275200","promyelocyte","acute promyelocytic leukemia",0.0788,"peripheral blood",3845
"SRR1275201","promyelocyte","acute promyelocytic leukemia",0.0689,"peripheral blood",6105
"SRR1275202","promyelocyte","acute promyelocytic leukemia",0.0671,"peripheral blood",4278
"SRR1275203","promyelocyte","acute promyelocytic leukemia",0.1396,"peripheral blood",4977
"SRR1275204","promyelocyte","acute promyelocytic leukemia",0.1346,"peripheral blood",3662
"SRR1275207","promyelocyte","acute promyelocytic leukemia",0.0577,"peripheral blood",5461
"SRR1275208","promyelocyte","acute promyelocytic leukemia",0.0575,"peripheral blood",4128
"SRR1275209","promyelocyte","acute promyelocytic leukemia",0.0174,"peripheral blood",5008
"SRR1275210","promyelocyte","acute promyelocytic leukemia",0.018,"peripheral blood",3697
"SRR1275211","promyelocyte","acute promyelocytic leukemia",0.0243,"peripheral blood",5014
"SRR1275212","promyelocyte","acute promyelocytic leukemia",0.0237,"peripheral blood",3191
"SRR1275213","promyelocyte","acute promyelocytic leukemia",0.0454,"peripheral blood",4344
"SRR1275215","promyelocyte","acute promyelocytic leukemia",0.059,"peripheral blood",5894
"SRR1275216","promyelocyte","acute promyelocytic leukemia",0.0579,"peripheral blood",4336
"SRR1275217","promyelocyte","acute promyelocytic leukemia",0.0401,"peripheral blood",5048
"SRR1275218","promyelocyte","acute promyelocytic leukemia",0.0409,"peripheral blood",3551
"SRR1275219","promyelocyte","acute promyelocytic leukemia",0.0642,"peripheral blood",6371
"SRR1275220","promyelocyte","acute promyelocytic leukemia",0.0654,"peripheral blood",4296
"SRR1275221","promyelocyte","acute promyelocytic leukemia",0.09,"peripheral blood",4491
"SRR1275222","promyelocyte","acute promyelocytic leukemia",0.0887,"peripheral blood",3417
"SRR1275223","promyelocyte","acute promyelocytic leukemia",0.0299,"peripheral blood",5160
"SRR1275224","promyelocyte","acute promyelocytic leukemia",0.0294,"peripheral blood",3782
"SRR1275225","promyelocyte","acute promyelocytic leukemia",0.168,"peripheral blood",2845
"SRR1275226","promyelocyte","acute promyelocytic leukemia",0.1321,"peripheral blood",2227
"SRR1275227","promyelocyte","acute promyelocytic leukemia",0.0206,"peripheral blood",5191
"SRR1275228","promyelocyte","acute promyelocytic leukemia",0.0196,"peripheral blood",4054
"SRR1275229","promyelocyte","acute promyelocytic leukemia",0.0779,"peripheral blood",4233
"SRR1275230","promyelocyte","acute promyelocytic leukemia",0.0771,"peripheral blood",3302
"SRR1275231","promyelocyte","acute promyelocytic leukemia",0.0767,"peripheral blood",4922
"SRR1275232","promyelocyte","acute promyelocytic leukemia",0.0766,"peripheral blood",3922
"SRR1275233","promyelocyte","acute promyelocytic leukemia",0.0496,"peripheral blood",5073
"SRR1275234","promyelocyte","acute promyelocytic leukemia",0.0488,"peripheral blood",3170
"SRR1275235","promyelocyte","acute promyelocytic leukemia",0.0813,"peripheral blood",4737
"SRR1275236","promyelocyte","acute promyelocytic leukemia",0.0808,"peripheral blood",3700
"SRR1275237","promyelocyte","acute promyelocytic leukemia",0.0224,"peripheral blood",3981
"SRR1275238","promyelocyte","acute promyelocytic leukemia",0.0223,"peripheral blood",3259
"SRR1275239","promyelocyte","acute promyelocytic leukemia",0.0468,"peripheral blood",5720
"SRR1275241","","normal control",0.024,"fetal cerebral cortex",3851
"SRR1275242","","normal control",0.0243,"fetal cerebral cortex",2824
"SRR1275243","","normal control",0.0183,"fetal cerebral cortex",3935
"SRR1275244","","normal control",0.0196,"fetal cerebral cortex",2813
"SRR1275245","","normal control",0.0129,"fetal cerebral cortex",3169
"SRR1275246","","normal control",0.014,"fetal cerebral cortex",2055
"SRR1275247","","normal control",0.02,"fetal cerebral cortex",5481
"SRR1275248","","normal control",0.0218,"fetal cerebral cortex",3510
"SRR1275249","","normal control",0.0255,"fetal cerebral cortex",2596
"SRR1275250","","normal control",0.0286,"fetal cerebral cortex",1680
"SRR1275251","","normal control",0.082,"fetal cerebral cortex",2386
"SRR1275252","","normal control",0.0859,"fetal cerebral cortex",1286
"SRR1275253","","normal control",0.0024,"fetal cerebral cortex",2282
"SRR1275254","","normal control",0.0028,"fetal cerebral cortex",1343
"SRR1275255","neuron","normal control",0.0102,"fetal cerebral cortex",3308
"SRR1275256","neuron","normal control",0.0109,"fetal cerebral cortex",2111
"SRR1275257","neuron","normal control",0.0144,"fetal cerebral cortex",3584
"SRR1275258","neuron","normal control",0.0158,"fetal cerebral cortex",1836
"SRR1275259","neuron","normal control",0.0106,"fetal cerebral cortex",2842
"SRR1275260","neuron","normal control",0.0117,"fetal cerebral cortex",1980
"SRR1275261","neuron","normal control",0.0416,"fetal cerebral cortex",3644
"SRR1275262","neuron","normal control",0.0424,"fetal cerebral cortex",2299
"SRR1275263","neuron","normal control",0.0313,"fetal cerebral cortex",4033
"SRR1275264","neuron","normal control",0.0336,"fetal cerebral cortex",2714
"SRR1275265","neuron","normal control",0.0163,"fetal cerebral cortex",3458
"SRR1275266","neuron","normal control",0.0163,"fetal cerebral cortex",2556
"SRR1275267","neuron","normal control",0.0085,"fetal cerebral cortex",3853
"SRR1275268","neuron","normal control",0.0092,"fetal cerebral cortex",2368
"SRR1275269","neuron","normal control",0.0243,"fetal cerebral cortex",5319
"SRR1275270","neuron","normal control",0.026,"fetal cerebral cortex",3816
"SRR1275271","neuron","normal control",0.0166,"fetal cerebral cortex",5291
"SRR1275273","neuron","normal control",0.0146,"fetal cerebral cortex",4641
"SRR1275275","neuron","normal control",0.0117,"fetal cerebral cortex",5384
"SRR1275277","neuron","normal control",0.0126,"fetal cerebral cortex",5235
"SRR1275279","neuron","normal control",0.0165,"fetal cerebral cortex",5659
"SRR1275281","neuron","normal control",0.0153,"fetal cerebral cortex",6179
"SRR1275283","neuron","normal control",0.0176,"fetal cerebral cortex",7383
"SRR1275285","neuron","normal control",0.0154,"fetal cerebral cortex",5048
"SRR1275287","neuron","normal control",0.0238,"fetal cerebral cortex",4735
"SRR1275289","neuron","normal control",0.0234,"fetal cerebral cortex",4296
"SRR1275291","neuron","normal control",0.0104,"fetal cerebral cortex",6181
"SRR1275293","neuron","normal control",0.0106,"fetal cerebral cortex",3584
"SRR1275295","neuron","normal control",0.0161,"fetal cerebral cortex",4393
"SRR1275297","neuron","normal control",0.0087,"fetal cerebral cortex",3759
"SRR1275299","neuron","normal control",0.0144,"fetal cerebral cortex",4343
"SRR1275301","neuron","normal control",0.0114,"fetal cerebral cortex",3831
"SRR1275303","promyelocyte","acute promyelocytic leukemia",0.0617,"peripheral blood",3661
"SRR1275304","promyelocyte","acute promyelocytic leukemia",0.0528,"peripheral blood",3005
"SRR1275305","promyelocyte","acute promyelocytic leukemia",0.0403,"peripheral blood",2367
"SRR1275306","promyelocyte","acute promyelocytic leukemia",0.041,"peripheral blood",1936
"SRR1275307","promyelocyte","acute promyelocytic leukemia",0.0416,"peripheral blood",5214
"SRR1275308","promyelocyte","acute promyelocytic leukemia",0.0424,"peripheral blood",3997
"SRR1275309","promyelocyte","acute promyelocytic leukemia",0.0397,"peripheral blood",4109
"SRR1275310","promyelocyte","acute promyelocytic leukemia",0.04,"peripheral blood",3091
"SRR1275311","promyelocyte","acute promyelocytic leukemia",0.0569,"peripheral blood",6373
"SRR1275312","promyelocyte","acute promyelocytic leukemia",0.0562,"peripheral blood",4955
"SRR1275313","promyelocyte","acute promyelocytic leukemia",0.0824,"peripheral blood",5582
"SRR1275314","promyelocyte","acute promyelocytic leukemia",0.0821,"peripheral blood",4257
"SRR1275315","promyelocyte","acute promyelocytic leukemia",0.0341,"peripheral blood",5807
"SRR1275316","promyelocyte","acute promyelocytic leukemia",0.0357,"peripheral blood",4178
"SRR1275317","promyelocyte","acute promyelocytic leukemia",0.0215,"peripheral blood",2896
"SRR1275318","promyelocyte","acute promyelocytic leukemia",0.0214,"peripheral blood",2243
"SRR1275319","promyelocyte","acute promyelocytic leukemia",0.0637,"peripheral blood",6381
"SRR1275320","promyelocyte","acute promyelocytic leukemia",0.0638,"peripheral blood",4614
"SRR1275321","promyelocyte","acute promyelocytic leukemia",0.1395,"peripheral blood",5051
"SRR1275322","promyelocyte","acute promyelocytic leukemia",0.1383,"peripheral blood",3812
"SRR1275324","","chronic myeloid leukemia (CML)",0.0741,"bone marrow",5976
"SRR1275325","","chronic myeloid leukemia (CML)",0.0823,"bone marrow",3948
"SRR1275326","","chronic myeloid leukemia (CML)",0.0396,"bone marrow",5085
"SRR1275327","","chronic myeloid leukemia (CML)",0.0437,"bone marrow",3691
"SRR1275328","","chronic myeloid leukemia (CML)",0.0526,"bone marrow",6380
"SRR1275329","","chronic myeloid leukemia (CML)",0.0574,"bone marrow",4738
"SRR1275330","","chronic myeloid leukemia (CML)",0.0446,"bone marrow",6865
"SRR1275331","","chronic myeloid leukemia (CML)",0.0475,"bone marrow",5051
"SRR1275332","","chronic myeloid leukemia (CML)",0.0513,"bone marrow",6920
"SRR1275333","","chronic myeloid leukemia (CML)",0.0549,"bone marrow",4493
"SRR1275334","","normal control",0.0123,"fetal cerebral cortex",2907
"SRR1275335","","normal control",0.0139,"fetal cerebral cortex",1984
"SRR1275336","","normal control",0.0133,"fetal cerebral cortex",2810
"SRR1275337","","normal control",0.0148,"fetal cerebral cortex",1463
"SRR1275338","","normal control",0.0497,"fetal cerebral cortex",2191
"SRR1275339","","normal control",0.0513,"fetal cerebral cortex",1698
"SRR1275340","","normal control",0.0226,"fetal cerebral cortex",2540
"SRR1275342","","normal control",0.0058,"fetal cerebral cortex",3177
"SRR1275344","","normal control",0.018,"fetal cerebral cortex",4265
"SRR1275346","","normal control",0.0136,"fetal cerebral cortex",3439
"SRR1275347","","normal control",0.0143,"fetal cerebral cortex",2042
"SRR1275348","","normal control",0.0073,"fetal cerebral cortex",4494
"SRR1275349","","normal control",0.008,"fetal cerebral cortex",2818
"SRR1275350","","normal control",0.0137,"fetal cerebral cortex",3770
"SRR1275352","","normal control",0.009,"fetal cerebral cortex",4787
"SRR1275354","","normal control",0.0151,"fetal cerebral cortex",2832
"SRR1275356","","normal control",0.0093,"fetal cerebral cortex",2664
"SRR1275357","","normal control",0.0105,"fetal cerebral cortex",1466
"SRR1275358","","normal control",0.0119,"fetal cerebral cortex",4007
"SRR1275360","","normal control",0.0125,"fetal cerebral cortex",3004
"SRR1275362","","normal control",0.011,"fetal cerebral cortex",4302
"SRR1275364","","normal control",0.0102,"fetal cerebral cortex",1974
"SRR1275366","","normal control",0.0153,"fetal cerebral cortex",2619
"SRR1275368","","normal control",5e-04,"fetal cerebral cortex",2333
"SRR1275370","","normal control",0.0103,"fetal cerebral cortex",2349
"SRR1275372","","chronic myeloid leukemia (CML)",0.0738,"bone marrow",6584
"SRR1275373","","chronic myeloid leukemia (CML)",0.0782,"bone marrow",4577
"SRR1275374","","chronic myeloid leukemia (CML)",0.0512,"bone marrow",6868
"SRR1275375","","chronic myeloid leukemia (CML)",0.056,"bone marrow",4645
"SRR1275376","","chronic myeloid leukemia (CML)",0.0454,"bone marrow",6807
"SRR1275377","","chronic myeloid leukemia (CML)",0.0494,"bone marrow",4926
"SRR1275378","","chronic myeloid leukemia (CML)",0.0495,"bone marrow",7075
"SRR1275379","","chronic myeloid leukemia (CML)",0.0537,"bone marrow",4570
"SRR1275380","","chronic myeloid leukemia (CML)",0.0599,"bone marrow",6717
"SRR1275381","","chronic myeloid leukemia (CML)",0.0646,"bone marrow",4691
"SRR1275382","","chronic myeloid leukemia (CML)",0.054,"bone marrow",6721
"SRR1275383","","chronic myeloid leukemia (CML)",0.0588,"bone marrow",5167
"SRR1275384","","chronic myeloid leukemia (CML)",0.0422,"bone marrow",6291
"SRR1275385","","chronic myeloid leukemia (CML)",0.0441,"bone marrow",4831
"SRR1275386","","chronic myeloid leukemia (CML)",0.0524,"bone marrow",6402
"SRR1275387","","chronic myeloid leukemia (CML)",0.0547,"bone marrow",4588
